iter	Passed	Remaining
802	1612	395
803	1614	393
804	1616	391
805	1618	389
806	1620	387
807	1622	385
808	1624	383
809	1626	381
810	1628	379
811	1630	377
812	1632	375
813	1635	373
814	1637	371
815	1639	369
816	1680	376
817	1682	374
818	1684	372
819	1687	370
820	1689	368
821	1692	366
822	1696	364
823	1698	362
824	1700	360
825	1702	358
826	1705	356
827	1708	354
828	1710	352
829	1713	350
830	1716	348
831	1718	346
832	1720	344
833	1722	342
834	1724	340
835	1727	338
836	1729	336
837	1736	335
838	1738	333
839	1740	331
840	1743	329
841	1745	327
842	1747	325
843	1750	323
844	1754	321
845	1756	319
846	1761	318
847	1764	316
848	1766	314
849	1769	312
850	1772	310
851	1780	309
852	1783	307
853	1786	305
854	1789	303
855	1791	301
856	1794	299
857	1796	297
858	1799	295
859	1801	293
860	1804	291
861	1829	292
862	1831	290
863	1834	288
864	1836	286
865	1838	284
866	1841	282
867	1844	280
868	1847	278
869	1849	276
870	1869	276
871	1871	274
872	1874	272
873	1876	270
874	1880	268
875	1893	268
876	1895	265
877	1897	263
878	1903	261
879	1906	259
880	1909	257
881	1913	256
882	1918	254
883	1921	252
884	1923	249
885	1927	247
886	1929	245
887	1933	243
888	1935	241
889	1938	239
890	1942	237
891	1946	235
892	1948	233
893	1951	231
894	1952	229
895	1955	226
896	1957	224
897	1959	222
898	1962	220
899	1966	218
900	1980	217
901	1985	215
902	1990	213
903	1993	211
904	1997	209
905	2000	207
906	2003	205
907	2006	203
908	2011	201
909	2016	199
910	2018	197
911	2021	195
912	2024	192
913	2026	190
914	2029	188
915	2031	186
916	2034	184
917	2037	182
918	2041	179
919	2043	177
920	2045	175
921	2047	173
922	2049	170
923	2051	168
924	2053	166
925	2055	164
926	2057	162
927	2059	159
928	2061	157
929	2063	155
930	2065	153
931	2067	150
932	2069	148
933	2086	147
934	2087	145
935	2089	142
936	2091	140
937	2094	138
938	2095	136
939	2097	133
940	2100	131
941	2101	129
942	2104	127
943	2105	124
944	2107	122
945	2108	120
946	2110	118
947	2112	115
948	2114	113
949	2116	111
950	2118	109
951	2120	106
952	2122	104
953	2124	102
954	2126	100
955	2128	97
956	2130	95
957	2132	93
958	2134	91
959	2136	89
960	2138	86
961	2140	84
962	2142	82
963	2143	80
964	2145	77
965	2148	75
966	2150	73
967	2151	71
968	2154	68
969	2157	66
970	2159	64
971	2161	62
972	2163	60
973	2165	57
974	2167	55
975	2169	53
976	2171	51
977	2173	48
978	2175	46
979	2177	44
980	2179	42
981	2181	39
982	2182	37
983	2185	35
984	2187	33
985	2189	31
986	2191	28
987	2193	26
988	2195	24
989	2197	22
990	2198	19
991	2200	17
992	2202	15
993	2204	13
994	2206	11
995	2208	8
996	2211	6
997	2213	4
998	2214	2
999	2216	0
